id,phase,item,priority,status,evidence,current_risk,acceptance,owner,deadline
R-001,Release baseline,冻结发布候选 commit 并清理工作区未提交改动,P0,blocked,"git status shows modified src/domain/ai_services.py, core_services.py, market_services.py, src/web/api_kol.py, templates/h5.html and tests","当前 main 不是可审计的发布候选；业务改动和 pycache 不能直接发布","发布分支只有经过评审的源码、迁移和配置模板；无未提交业务改动；pycache 和本地密钥不进入发布包","开发负责人",2026-08-26
R-002,Automated tests,处理全量测试失败并重新执行完整测试,P0,blocked,"python3 -m pytest -q: 307 passed, 18 failed, 5 warnings","失败会覆盖 admin、Hermes、市场数据和 H5 路由核心能力；不能以通过率不完整的状态发布","pytest 全量 0 failed；关键测试不依赖本机数据库或已明确配置测试数据库","开发负责人",2026-08-27
R-003,Automated tests,修复或隔离数据库不可用导致的测试环境差异,P0,blocked,"日志显示 127.0.0.1:5432 Operation not permitted；多个 admin 请求返回 403，Hermes 返回 503","本地验证结果不能代表 staging；回退逻辑和权限契约可能被误判或真实回归","测试使用固定可复现的 PostgreSQL 测试库和 admin/dav 会话夹具；API 状态码符合测试契约","后端负责人",2026-08-27
R-004,Gangtise credentials,确认生产当前应用 SECRET_KEY 与 PostgreSQL Gangtise 凭证的加密密钥连续,P0,blocked,"生产日志明确报 credential record cannot be decrypted with current application secret；凭证在 31c8d18 改为 PostgreSQL 加密存储","行情请求在本地解密阶段失败，所有 K 线和实时详情可能不可用","生产应用密钥固定且可验证；Admin 凭证状态为 readable/plaintext；生产探针成功返回真实数据；不得打印 secret 或 ciphertext","运维负责人",2026-08-26
R-005,CI/CD security,修正 Jenkins 凭证和密钥文件注入策略并做一次无密钥误部署演练,P0,blocked,"gangtise_CI 当前要求工作区存在 .gangtise_openapi_credentials 和 .gangtise_session_secret；这些文件不应从 Git 发布","可能因敏感文件不存在而阻断部署，或因错误同步泄露/覆盖密钥","敏感文件由 Jenkins credentials 或服务器受保护路径注入；rsync 不覆盖；构建日志不出现凭证；缺失时明确失败","运维负责人",2026-08-27
R-006,Database release,核对并生成 8 月 31 日对应的数据库迁移/数据发布包,P0,blocked,"当前已有 sql/postgres/107_migrate_market_provider_to_gangtise.sql；database_release_packages 最新目录为 2026-08-19/v1.1.5","代码与目标数据库 schema_migrations 不一致会导致启动或数据读取失败","staging 已应用全部必需 migration；每个包有 release.env、checksum 和幂等 SQL；生产发布前有 manifest","数据库负责人",2026-08-27
R-007,Database release,在 staging 执行完整数据库发布并校验数据快照、pgvector 和凭证保护,P0,pending,"scripts/prepare_database_release.sh 与 scripts/sync_staging_to_production.sh 提供临时库校验和环境凭证保护","全量替换可能覆盖业务数据；快照为空会造成市场一览空白","staging 表数量、migration 数量、pgvector、market snapshots、index/sector catalog 均通过校验；受保护 app_settings 未被覆盖","数据库负责人",2026-08-28
R-008,Market data,验证 Gangtise 真实行情、指数、股票详情和数据日期为最新有效交易日,P0,blocked,"测试日志出现 Gangtise credentials unavailable；当前测试还失败于 intraday cache refill 和 unified detail 契约","生产仍可能显示旧快照、无分时或错误日期","对上证、深证、贵州茅台、港股样本执行真实探针；记录 source、trade date、points；缓存缺失时行为符合产品规则","行情负责人",2026-08-28
R-009,Hermes,验证 Hermes 查询、记忆概览、复盘异步任务和 SSE 在 staging 的真实链路,P0,blocked,"全量测试包含 Hermes 相关失败；当前日志出现 llm_api_key_missing 和数据库回退","Hermes 核心能力可能返回 503 或只显示演示/回退内容","真实租户查询成功；异步任务可追踪、幂等、可恢复；失败可见且不泄露内部错误；无演示数据混入","AI/后端负责人",2026-08-28
R-010,Authentication and authorization,验证首页无需登录、H5/大V后台登录统一、admin/dav/fan 权限边界及停用账号行为,P0,pending,"近期测试失败包含 admin 页面 403 和 workbench 路由失败；产品要求多个角色和统一 login","可能出现首页被错误拦截、后台越权或停用账号仍可访问","覆盖未登录首页、H5 登录、dav workbench、admin、fan 账号、停用账号、租户隔离；返回码和跳转符合设计","安全/后端负责人",2026-08-28
R-011,Frontend acceptance,完成 H5、KOL workbench、admin 三端关键页面人工验收,P1,pending,"近期涉及智能看板、粉丝自选股、复盘、指标编辑和数据库发布等大量页面变更","页面可能因数据库不可用、旧缓存或接口契约不一致出现空白/闪烁","按验收脚本检查登录、市场一览、股票详情日期、指标编辑删除、粉丝管理、发布恢复、数据库发布","产品/前端负责人",2026-08-29
R-012,Security,检查二次提交、CSRF/权限、敏感日志、SQL 发布确认和凭证脱敏,P0,pending,"数据库发布脚本已有确认和临时库机制，但 CI/CD 凭证路径近期反复变更","重复提交、越权、日志泄露或误替换数据库会造成生产事故","关键 POST 有幂等/并发保护；管理员权限强制校验；日志无 token/key/password；发布有确认、审计和回滚记录","安全负责人",2026-08-29
R-013,Performance,对 100 并发访问执行 staging 压测并确认 PostgreSQL 连接池、缓存和慢请求阈值,P1,pending,"系统尚未有本轮发布的实测压测结果；市场/Hermes 可能触发外部请求和数据库查询","100 人同时访问可能造成连接耗尽、页面超时或外部 API 雪崩","定义并达到 P95/P99、错误率、数据库连接、CPU/内存阈值；外部行情和 Hermes 有超时、缓存和限流","性能负责人",2026-08-29
R-014,Observability,补齐发布后监控、健康检查、日志轮转和告警联系人,P1,pending,"start_daemon_app.sh 只做启动后 3 秒检查；无本次发布的完整可观测性验收记录","服务启动成功不代表 API、数据库和行情可用","具备应用/数据库/Gangtise/Hermes/队列健康检查；错误率、延迟、进程退出和磁盘告警可触发","运维负责人",2026-08-30
R-015,Rollback,在 staging 演练代码回滚、数据库回滚和凭证恢复,P0,pending,"数据库脚本会保留 backup database；rollback_database_release.sh 已存在","发布后无法快速恢复会扩大停机和数据风险","明确上一版本 commit、数据库 backup 名称、应用密钥、恢复命令和负责人；演练耗时有记录","运维/数据库负责人",2026-08-30
R-016,Go live,执行发布前 go/no-go 评审并锁定发布窗口,P0,pending,"距离 2026-08-31 还有 5 个日历日，当前仍有 18 个测试失败","未完成项进入发布会把已知问题带入生产","R-002、R-004、R-006、R-008、R-009、R-010、R-012、R-015 全部通过；其余 P1 有明确豁免和负责人","发布负责人",2026-08-30
R-017,Production release,按批准的 commit、数据库包和凭证策略发布生产,P0,pending,"gangtise_CI/gangtise_CD 已有基础流水线，但生产真实执行记录尚未提供","流水线可能发布错误分支、错误数据库或旧凭证","记录发布 commit、数据库 manifest、Jenkins build、健康检查和变更窗口；无手工未审计操作","发布负责人",2026-08-31
R-018,Post-release,发布后 30/60/120 分钟观察并完成业务验收,P0,pending,"尚无本次版本的生产验收记录","问题可能在启动成功后才暴露，例如行情、Hermes、登录和数据库连接","连续观察无 P0/P1 告警；真实用户路径通过；确认关键数据源和数据库快照更新时间；形成发布报告","运维/产品负责人",2026-08-31
