BugID,关联需求ID,业务域,问题标题,现象/影响,根因,修复方案,验证用例或BDD,状态,首次发现时间,修复完成时间,关联提交,备注
BUG-001,US083,行情快照,盘中市场/行业读取日K，页面展示昨日收盘,实时市场指标失真,优先读取日K而非盘中分钟数据,盘中按需共享刷新，分钟线优先、日K降级,tests/test_market_on_demand_refresh_bdd.py,已修复,2026-09-18,2026-09-18,a8f48a9,需持续验证供应商实时返回
BUG-002,US083,任务中心,停止市场同步后状态不能恢复，无法重新启动,任务卡一直显示执行中,停止标记和运行记录状态未协调,补充强制停止与状态恢复控制,tests/test_market_snapshot_bdd.py,已修复,2026-09-17,2026-09-18,"61c6a31,11634ac",手工按钮需反馈
BUG-003,US043,财经播报,Gangtise HTTP 200 但被判定无正文,午晚报任务失败且未推送,仅按预设时段标记/字段取正文，未兼容实际返回结构,按实际记录匹配与可读内容字段提取,tests/test_daily_finance_broadcast_bdd.py,已修复,2026-09-16,2026-09-18,"a13254e,61c6a31",需真实接口回归
BUG-004,US009,自选股,添加或删除前端提示失败，但服务端实际成功,用户重复操作且体验错误,前端响应解析/刷新时序与200结果不一致,统一成功响应与刷新处理,tests/test_fan_dav_relationship_regression_bdd.py,已修复,2026-09-15,2026-09-17,be4d704,含空自选股状态
BUG-005,US025,账户权限,新粉丝首次登录落入大V工作台,角色越权式错误入口,首次会话角色/导航状态未锁定,运行时角色锁定并做粉丝-大V回归,tests/test_fan_dav_relationship_regression_bdd.py,已修复,2026-09-15,2026-09-17,"7ec7ecd,be4d704",需覆盖新注册路径
BUG-006,US032,H5盲盒,盲盒在移动端层级/定位错误或不可见,遮挡或无法触达活动入口,fixed定位未相对底部导航和安全区计算,调整相对底部导航的位置并支持拖拽,H5体验面回归BDD,已修复,2026-09-16,2026-09-18,"a13254e,aac4403",不同设备需人工验收
BUG-007,US043,新闻标注,直接V4检索新闻模式调用失败或结果不可用,新闻列表无法稳定生成,模型/端点/外网检索假设不成立,恢复新闻源采集，避免将检索依赖作为主链路,新闻/路由BDD,已修复,2026-09-15,2026-09-15,c2e4c80,当前不做V4新闻标注展示
BUG-008,US083,基本面,Admin/H5市场或行业指标空白、快照不完整,Top10与市场概览无法显示,共享快照任务未涵盖租户配置或数据源回退不完整,增加共享任务、租户指标配置与数据可用提示,tests/test_market_snapshot_bdd.py,已修复,2026-09-17,2026-09-18,"61c6a31,11634ac",实时数据仍需外部源监控
BUG-009,US008,个股详情,601818光大银行详情没有数据,个股详情不可用,证券代码/供应商映射或降级链路缺失,强化AKShare/Sina供应商和代码标准化,tests/test_watchlist_akshare_provider.py,已修复,2026-09-18,2026-09-18,3997b23,应补真实源用例
BUG-010,US059,批量用户导入,模型解析预览报 item is not defined,无法批量新建账户,前端变量引用未定义,修正解析结果变量并增加重复用户名标识,tests/test_fan_dav_relationship_regression_bdd.py,已修复,2026-09-17,2026-09-17,be4d704,大V无需选择所属大V
BUG-011,US004,复盘富文本,AI生成后上传图片丢失,复盘内容失真,富文本HTML与AI文本覆盖写入,富文本HTML独立保存并保留图片,tests/test_review_rich_content_bdd.py,已修复,2026-09-16,2026-09-16,7ec7ecd,已迁移富文本字段
