需求ID,需求标题,Codex Token 输入（会话估算）,Codex Token 输出（会话估算）,Codex Token 总计（会话估算）,Codex 会话归因开始时间,Codex 会话归因结束时间,Codex 累计会话运行时长（小时）,会话归因人天（8小时）
US001,浏览租户门户,638,9124,9761,2026-06-17 03:59:07,2026-09-14 13:42:46,0.80,0.100
US002,编辑租户门户,0,0,0,,,0,0
US003,发布门户草稿,0,0,0,,,0,0
US004,门户富文本支持贴图和表格,119,1098,1217,2026-06-18 02:43:44,2026-09-16 15:47:59,0.34,0.042
US005,调整门户模块顺序和显隐,0,0,0,,,0,0
US006,进入H5继续使用,0,0,0,,,0,0
US007,查看基本面分析,8534,32898,41432,2026-05-26 21:28:05,2026-09-18 02:43:23,5.11,0.639
US008,查看K线与均线,13066,45709,58775,2026-06-07 18:16:46,2026-09-18 10:27:17,4.94,0.617
US009,添加自选股,25415,79594,105009,2026-05-26 21:28:05,2026-09-18 02:43:23,13.16,1.645
US010,给K线做标注,7029,30094,37123,2026-06-17 04:18:28,2026-09-17 11:32:09,2.58,0.323
US011,阅读复盘,0,0,0,,,0,0
US012,生产复盘草稿,1740,2994,4734,2026-06-19 10:55:45,2026-09-16 15:47:59,0.45,0.056
US013,语音转复盘,0,0,0,,,0,0
US014,上传文件生成复盘,541,1738,2278,2026-06-07 13:03:28,2026-07-29 11:16:19,1.82,0.227
US015,通过消息向大V提问,3960,22452,26412,2026-06-01 13:04:11,2026-09-16 23:29:21,1.92,0.241
US016,在工作台处理粉丝消息,0,0,0,,,0,0
US017,群发复盘提醒,0,0,0,,,0,0
US018,与Hermes进行个股分析,929,3025,3953,2026-08-07 15:00:17,2026-09-16 03:33:54,0.50,0.062
US019,与Hermes纯对话,21296,137740,159036,2026-06-01 12:49:31,2026-09-18 02:32:03,18.35,2.294
US020,新增自定义Skill,0,0,0,,,0,0
US021,维护知识库条目,8770,36225,44996,2026-06-07 16:53:47,2026-09-15 02:39:02,16.69,2.087
US022,微调历史知识内容,0,0,0,,,0,0
US023,让知识条目被Hermes引用,0,0,0,,,0,0
US024,管理租户,229,735,965,2026-07-12 09:44:41,2026-07-29 11:16:19,0.09,0.011
US025,管理用户,51114,303288,354402,2026-05-20 16:13:24,2026-09-18 23:19:28,48.95,6.118
US026,控制功能开关,1725,7023,8748,2026-06-18 11:27:15,2026-09-14 18:51:25,0.84,0.106
US027,查看访问审计,41,92,134,2026-08-13 20:39:32,2026-08-13 20:46:44,0.01,0.002
US028,配置预测工作流,0,0,0,,,0,0
US029,查看预测结果,0,0,0,,,0,0
US030,查看经营Dashboard,159,1786,1945,2026-09-16 00:05:37,2026-09-16 23:29:21,0.09,0.011
US031,定义智能Dashboard与提示词面板,0,0,0,,,0,0
US032,查看社区与活动,4300,15175,19475,2026-06-07 16:53:47,2026-09-17 12:28:34,2.03,0.253
US033,扫码导入粉丝,590,6448,7038,2026-06-18 15:06:32,2026-09-16 03:20:06,1.06,0.132
US034,让门户/H5/工作台/Admin 口径一致,22450,140850,163300,2026-05-27 00:15:56,2026-09-17 23:24:41,18.11,2.263
US035,维护租户品牌与门户配置,1564,2676,4241,2026-06-07 16:53:47,2026-09-04 00:40:45,0.15,0.019
US036,构建真实知识库数据层,0,0,0,,,0,0
US037,构建真实Agent编排层,497,2666,3162,2026-07-11 19:27:18,2026-07-29 11:16:19,0.25,0.032
US038,把前端 localStorage 状态迁移到后端,0,0,0,,,0,0
US039,开启一期只读模式,0,0,0,,,0,0
US040,自动归纳粉丝共性问题,0,0,0,,,0,0
US041,付费内容水印与盗版追溯,50,578,628,2026-08-31 04:44:33,2026-08-31 06:50:34,0.04,0.005
US042,多平台内容分发助手,0,0,0,,,0,0
US043,对接Gangtise API并完成积分测试,33716,98646,132362,2026-05-20 16:07:16,2026-09-18 23:19:28,25.50,3.187
US044,统一合规边界与免责声明控制,2650,6721,9371,2026-05-21 10:45:31,2026-09-08 02:33:06,0.30,0.037
US045,按自选股自动归纳研究板块,0,0,0,,,0,0
US046,查看自选股预警分析,452,1158,1610,2026-06-07 16:53:47,2026-09-03 19:12:16,0.06,0.008
US047,配置基本面展示模板与字段,31,136,168,2026-09-17 23:20:36,2026-09-17 23:24:41,0.01,0.002
US048,维护自选股详情数据源与K线配置,5714,24586,30300,2026-05-27 13:19:02,2026-09-18 02:16:44,4.46,0.558
US049,维护自选股板块映射与主题分组,0,0,0,,,0,0
US050,维护自选股预警规则与触达策略,0,0,0,,,0,0
US051,持久化管理智能Dashboard草稿与发布版,0,0,0,,,0,0
US052,维护复盘内容库与发布配置,0,0,0,,,0,0
US053,维护群发模板与发送任务,0,0,0,,,0,0
US054,在个股详情页留言互动,0,0,0,,,0,0
US055,在复盘内容页留言互动,0,0,0,,,0,0
US056,维护个股与复盘留言线程及审核配置,0,0,0,,,0,0
US057,监控大模型 Token 与模型消耗,14321,28472,42793,2026-06-07 23:17:45,2026-09-18 23:19:28,17.35,2.168
US058,白盒查看与调整证据链过滤提示词,1616,3879,5495,2026-06-07 16:53:47,2026-08-26 15:23:23,0.28,0.035
US059,共享用户导入服务,1556,8466,10022,2026-06-18 11:52:04,2026-09-17 13:27:09,0.81,0.102
US060,实时看到大模型执行进度,0,0,0,,,0,0
US061,弹框查看用户详情,502,880,1382,2026-06-22 23:58:25,2026-09-17 11:19:15,0.06,0.008
US062,功能开关联动左右菜单与模块归属,1797,14686,16483,2026-06-07 23:04:36,2026-09-17 02:12:36,2.00,0.251
US063,抽象独立证据链查询 API,0,0,0,,,0,0
US064,删除单一粗粒度 DM 开关设计,0,0,0,,,0,0
US065,独立控制粉丝与大V互动开关,0,0,0,,,0,0
US066,统一消息模块,0,0,0,,,0,0
US067,将 app.py 入口化并拆分路由与领域层,13922,27039,40961,2026-05-27 13:55:31,2026-09-17 10:26:45,3.27,0.408
US068,下沉数据库访问层与外部依赖层,183,2040,2223,2026-07-09 15:48:37,2026-09-17 20:24:30,0.20,0.025
US069,将 Web 进程内后台线程改造为独立 Worker/Scheduler,3469,15198,18667,2026-06-21 12:39:14,2026-09-17 12:42:55,1.10,0.138
US070,拆分 H5、工作台、Admin 巨石模板,0,0,0,,,0,0
US071,完成架构评估与容量治理重构方案,14716,61627,76342,2026-07-09 16:19:17,2026-09-17 20:24:30,8.89,1.112
US072,统一 Postgres 主库并清理 SQLite 残留口径,9336,48581,57917,2026-06-18 11:43:19,2026-09-18 00:36:06,4.12,0.516
US073,管理 Hermes 新会话与历史会话,1901,7214,9115,2026-07-11 17:52:26,2026-09-18 23:08:19,0.94,0.117
US074,治理 Hermes 记忆备份与清理,2182,11740,13921,2026-07-11 17:32:12,2026-09-14 15:22:33,0.59,0.074
US075,查看 Hermes 使用统计与算力消耗,2132,3759,5891,2026-07-10 17:17:43,2026-08-26 15:39:57,0.30,0.038
US076,可视化查看智能体工作流中心,3388,23246,26635,2026-06-21 23:58:14,2026-09-17 23:14:38,2.29,0.287
US077,建设知识专区与多视角知识图谱,0,0,0,,,0,0
US078,以双层结构生产复盘并发布,11471,64918,76389,2026-05-26 21:28:05,2026-09-17 12:42:18,8.69,1.086
US079,用自选股K线标注驱动复盘归纳,0,0,0,,,0,0
US080,统一图表渲染为 ECharts,12953,36818,49771,2026-05-20 16:13:24,2026-09-16 13:55:29,16.90,2.112
US081,建立功能级模型映射配置,13599,41884,55483,2026-06-07 16:53:47,2026-09-17 12:19:06,5.42,0.678
US082,形成 API 清单与承压治理基线,6288,43236,49524,2026-07-09 18:44:19,2026-09-18 03:36:01,27.87,3.483
US083,统一指标数据接入并控制 Gangtise 积分消耗,21191,83671,104862,2026-05-27 14:25:18,2026-09-18 13:03:11,15.65,1.957
