需求ID,角色,需求标题,需求描述,需求类型,当前状态,标签,界面入口,当前后端或存储实现,是否基于SQLite,是否硬编码,是否基于LocalStorage,是否需要Agent,Agent工作流设计,是否关联知识库,知识库设计说明,备注,需求处理动作,是否关联0618会议,0618会议新增说明,MVP范围,上线批次,优先级,合规或依赖说明,预估工时,计划开始时间,计划结束时间,排期波次,排期目标
US001,粉丝用户,浏览租户门户,作为粉丝用户，我希望先通过租户门户理解大V是谁、看什么、为什么值得关注，以便决定是否继续进入工具使用。,业务需求,已实现,门户,/tenant/<tenant_slug>,Flask 模板渲染 + app_settings.site_config.tenants[].portal_cms,否,否,否,否,,否,,门户已按 page_blocks 顺序渲染,已存在，更新分批,是,会议确认一期先用门户承接大V价值主张与只读内容。,MVP核心,Batch 1（1个月内）,P0,需统一门户免责声明与身份说明,3.5,2026-07-09,2026-07-17,W2 门户与租户配置,打通租户门户、CMS、品牌配置与发布链路
US002,大V,编辑租户门户,作为大V，我希望可视化编辑自己的租户门户，包括标题、文案、截图、表格和联系方式，以便持续维护对外主页。,业务需求,已实现,门户,/kol-workbench?section=portal,POST /api/kol/portal-cms -> app_settings.site_config.tenants[].portal_cms,否,否,否,否,,是,知识库条目可作为富文本内容来源，但当前未直接打通引用选择器。,当前是富文本 CMS，不是拖拽布局引擎,已存在，更新分批,否,作为会议结论的承接能力，用于持续维护对外主页。,MVP核心,Batch 1（1个月内）,P0,需控制富文本白名单与发布口径,3.5,2026-07-09,2026-07-17,W2 门户与租户配置,打通租户门户、CMS、品牌配置与发布链路
US003,大V,发布门户草稿,作为大V，我希望编辑完成后可以发布门户草稿，并让粉丝端同步更新。,业务需求,已实现,门户,工作台门户编辑区,portal_cms 持久化到 Postgres app_settings，并同步渲染到 /tenant 门户,否,否,否,否,,否,,发布后 /tenant 与 H5/工作台口径同步,已存在，更新分批,否,支撑大V持续更新门户并同步到粉丝端。,MVP核心,Batch 1（1个月内）,P1,需保留发布态与回滚能力,2.5,2026-07-09,2026-07-17,W2 门户与租户配置,打通租户门户、CMS、品牌配置与发布链路
US004,大V,门户富文本支持贴图和表格,作为大V，我希望在门户正文里可以粘贴截图和表格，以便直接复用研究材料。,技术需求,已实现,门户,工作台门户富文本区,前端 contenteditable + onpaste;base64 图像 + HTML table; 后端 HTML 白名单存 portal_cms,否,否,否,否,,否,,图片当前以 data:image 方式保存在 portal_cms JSON 中,已存在，更新分批,是,会议强调复盘和知识库需要引用截图、表格、证据链素材。,MVP核心,Batch 1（1个月内）,P0,需限制图片大小与HTML安全,4.5,2026-07-09,2026-07-17,W2 门户与租户配置,打通租户门户、CMS、品牌配置与发布链路
US005,大V,调整门户模块顺序和显隐,作为大V，我希望控制门户模块顺序和显示状态，以便决定粉丝首先看到什么。,业务需求,已实现,门户,工作台门户左侧结构区,page_blocks[] enabled/order -> portal_cms,否,否,否,否,,否,,当前支持 hero/dashboard/rich_text/contact,已存在，更新分批,否,用于控制一期先展示什么内容。,MVP核心,Batch 1（1个月内）,P1,需与粉丝端渲染协议保持一致,2.5,2026-07-09,2026-07-17,W2 门户与租户配置,打通租户门户、CMS、品牌配置与发布链路
US006,粉丝用户,进入H5继续使用,作为粉丝用户，我希望从门户进入 H5 继续查看分析、自选股、复盘和 Hermes。,业务需求,已实现,H5,/h5,Flask 页面 + 前端运行时数据,否,是,是,否,,否,,数据主要是 demo 生成,已存在，更新分批,是,会议建议用户先看内容，再进入H5继续消费研究能力。,MVP核心,Batch 1（1个月内）,P1,H5入口需跟随租户功能控开,2.5,2026-07-18,2026-07-30,W3 基本面与Dashboard,把基本面首页、智能看板、提示词配置从演示态拉到可配置态
US007,粉丝用户,查看基本面分析,作为粉丝用户，我希望查看个股结构化基本面分析，以便快速理解核心判断。,业务需求,已实现,自选股,H5 个股详情,/api/watchlist/<stock_code> -> gen_watchlist_details(),否,是,否,部分,可选,后续可接 Agent 负责财报抽取->指标标准化->结论生成。,是,知识库应支持 company / industry / thesis / evidence / validation_node 五元结构。；当前数据为硬编码 demo 样本,已存在，更新分批,是,会议明确首页基本面和个股信息要受合规边界约束。,MVP受限开放,Batch 1（1个月内）,P0,高合规风险；只保留研究表达和风险提示,3.0,2026-07-18,2026-07-30,W3 基本面与Dashboard,把基本面首页、智能看板、提示词配置从演示态拉到可配置态
US008,粉丝用户,查看K线与均线,作为粉丝用户，我希望在个股详情看到 K 线与均线，以便结合走势理解判断。,业务需求,已实现,自选股,H5 个股详情,前端 SVG/K线数据来自 gen_watchlist_details(),否,是,否,否,,否,,当前为演示数据,已存在，更新分批,是,K线走势与复盘标注是会议中被反复提到的展示形式。,MVP核心,Batch 1（1个月内）,P1,需避免直接形成荐股表达,2.5,2026-07-31,2026-08-22,W4 自选股研究层,完成自选股、K线、板块归纳、预警与相关配置中心
US009,粉丝用户,添加自选股,作为粉丝用户，我希望把感兴趣的股票加入自选，以便后续跟踪。,业务需求,已实现,自选股,H5 自选股,浏览器 localStorage WATCHLIST_ADDED_STORAGE_KEY；尚未迁移到租户级后端资产,否,否,是,否,,否,,当前仍是本地自选股，不支持跨端同步,已存在，更新分批,否,自选股是既定MVP能力，会议未改变优先级。,MVP核心,Batch 1（1个月内）,P0,需迁移到后端形成租户级资产,3.5,2026-07-31,2026-08-22,W4 自选股研究层,完成自选股、K线、板块归纳、预警与相关配置中心
US010,粉丝用户,给K线做标注,作为粉丝用户，我希望在 K 线上记录当时判断和复盘话语，以便后续复盘引用。,业务需求,已实现,"自选股,标注",H5 个股详情标注弹窗,/api/watchlist/<stock_code>/annotations GET/POST/DELETE + Postgres 持久化标注记录,否,否,否,否,,是,知识条目应支持 annotation -> linked_symbol -> timestamp -> note -> thesis。,K线标注已支持保存、查询、删除，可作为后续复盘归纳输入,已存在，更新分批,是,会议明确需要K线标注和复盘证据链联动。,MVP核心,Batch 1（1个月内）,P1,标注需和复盘内容关联留痕,2.5,2026-07-31,2026-08-22,W4 自选股研究层,完成自选股、K线、板块归纳、预警与相关配置中心
