api_path,method,domain,module,function,avg_access_time_ms,capacity_min_rps,capacity_max_rps,capacity_tag,basis,notes
/api/admin/access-logs,GET,admin,src/web/api_core.py,api_admin_access_logs,140,30,80,,工程估算：多表拼装/列表查询,
/api/admin/access-stats,GET,admin,src/web/api_core.py,api_admin_access_stats,140,30,80,,工程估算：多表拼装/列表查询,
/api/admin/agent-workflows,GET,admin,src/web/api_core.py,api_admin_agent_workflows,140,30,80,,工程估算：多表拼装/列表查询,
/api/admin/forecast-config,GET,admin,src/web/api_core.py,api_admin_forecast_config,80,60,120,,工程估算：单次轻量 Postgres 读,
/api/admin/forecast-config,POST,admin,src/web/api_core.py,api_save_admin_forecast_config,130,25,60,,工程估算：单次写入/更新/删除,
/api/admin/hermes/memory-backup,POST,admin,src/web/api_core.py,api_admin_hermes_memory_backup,1600,0.2,1,必须限流,工程估算：备份/清理类运维接口,
/api/admin/hermes/memory-clear,POST,admin,src/web/api_core.py,api_admin_hermes_memory_clear,1600,0.2,1,必须限流,工程估算：备份/清理类运维接口,
/api/admin/hermes/memory-clear-preview,POST,admin,src/web/api_core.py,api_admin_hermes_memory_clear_preview,260,15,40,,工程估算：聚合统计/详情拼装,
/api/admin/hermes/memory-summary,GET,admin,src/web/api_core.py,api_admin_hermes_memory_summary,140,30,80,,工程估算：多表拼装/列表查询,
/api/admin/hermes/usage-stats,GET,admin,src/web/api_core.py,api_admin_hermes_usage_stats,260,15,40,,工程估算：聚合统计/详情拼装,
/api/admin/indicator-batches/market-cache-sync,POST,admin,src/web/api_core.py,api_admin_indicator_market_cache_sync,2100,0.2,0.8,建议串行,工程估算：外部指标同步与落库,
/api/admin/indicator-batches/mock-seed,POST,admin,src/web/api_core.py,api_admin_indicator_mock_seed,220,10,30,,工程估算：多表写入/附带聚合更新,
/api/admin/indicator-clean-jobs,GET,admin,src/web/api_core.py,api_admin_indicator_clean_jobs,140,30,80,,工程估算：多表拼装/列表查询,
/api/admin/indicator-clean-jobs/run,POST,admin,src/web/api_core.py,api_admin_run_indicator_clean_job,1800,0.2,1,建议串行或限流,工程估算：外部接口批量同步/清洗任务,
/api/admin/indicator-definitions,GET,admin,src/web/api_core.py,api_admin_indicator_definitions,140,30,80,,工程估算：多表拼装/列表查询,
/api/admin/indicator-definitions,POST,admin,src/web/api_core.py,api_save_admin_indicator_definition,220,10,30,,工程估算：多表写入/附带聚合更新,
