需求ID,角色,需求标题,需求描述,需求类型,当前状态,标签,界面入口,当前后端或存储实现,是否基于SQLite,是否硬编码,是否基于LocalStorage,是否需要Agent,Agent工作流设计,是否关联知识库,知识库设计说明,备注,需求处理动作,是否关联0618会议,0618会议新增说明,MVP范围,上线批次,优先级,合规或依赖说明,预估工时,计划开始时间,计划结束时间,排期波次,排期目标,代码实现状态,实现证据（代码/BDD/迁移）,实现活动时间范围（Git）,审计结论,Codex Token 输入（会话估算）,Codex Token 输出（会话估算）,Codex Token 总计（会话估算）,Token 数据质量,Codex 会话归因开始时间,Codex 会话归因结束时间,Codex 累计会话运行时长（小时）,会话归因人天（8小时）,工时数据质量,关联Bug数,关联Bug编号,最后审计时间,审计基线提交
US001,粉丝用户,浏览租户门户,作为粉丝用户，我希望先通过租户门户理解大V是谁、看什么、为什么值得关注，以便决定是否继续进入工具使用。,业务需求,已实现,门户,/tenant/<tenant_slug>,Flask 模板渲染 + app_settings.site_config.tenants[].portal_cms,否,否,否,否,,否,,门户已按 page_blocks 顺序渲染,已存在，更新分批,是,会议确认一期先用门户承接大V价值主张与只读内容。,MVP核心,Batch 1（1个月内）,P0,需统一门户免责声明与身份说明,3.5,2026-07-09,2026-07-17,W2 门户与租户配置,打通租户门户、CMS、品牌配置与发布链路,已实现,templates/tenant_portal.html；src/web/pages.py,2026-06-07 至 2026-09-18,门户展示与租户配置已由服务端提供。,638,9124,9761,项目会话可见文本离线估算；15轮按用户请求关键词归因，多需求轮次均分；不是供应商账单。,2026-06-17 03:59:07,2026-09-14 13:42:46,0.80,0.100,用户请求至可见助手回复的时长，按关键词归因并均分；不等同于连续人工工时。,0,,2026-09-18,a8f48a9
US002,大V,编辑租户门户,作为大V，我希望可视化编辑自己的租户门户，包括标题、文案、截图、表格和联系方式，以便持续维护对外主页。,业务需求,已实现,门户,/kol-workbench?section=portal,POST /api/kol/portal-cms -> app_settings.site_config.tenants[].portal_cms,否,否,否,否,,是,知识库条目可作为富文本内容来源，但当前未直接打通引用选择器。,当前是富文本 CMS，不是拖拽布局引擎,已存在，更新分批,否,作为会议结论的承接能力，用于持续维护对外主页。,MVP核心,Batch 1（1个月内）,P0,需控制富文本白名单与发布口径,3.5,2026-07-09,2026-07-17,W2 门户与租户配置,打通租户门户、CMS、品牌配置与发布链路,已实现,src/web/api_core.py；templates/admin.html,2026-06-07 至 2026-09-18,租户门户配置可在后台维护。,0,0,0,未命中项目会话需求关键词；0 表示未归因，不表示实际未消耗。,,,0,0,未命中项目会话需求关键词；0 表示未归因，不表示实际未耗时。,0,,2026-09-18,a8f48a9
US003,大V,发布门户草稿,作为大V，我希望编辑完成后可以发布门户草稿，并让粉丝端同步更新。,业务需求,已实现,门户,工作台门户编辑区,portal_cms 持久化到 Postgres app_settings，并同步渲染到 /tenant 门户,否,否,否,否,,否,,发布后 /tenant 与 H5/工作台口径同步,已存在，更新分批,否,支撑大V持续更新门户并同步到粉丝端。,MVP核心,Batch 1（1个月内）,P1,需保留发布态与回滚能力,2.5,2026-07-09,2026-07-17,W2 门户与租户配置,打通租户门户、CMS、品牌配置与发布链路,已实现,src/web/api_core.py；src/domain/core_services.py,2026-06-07 至 2026-09-18,门户草稿与发布状态已落库。,0,0,0,未命中项目会话需求关键词；0 表示未归因，不表示实际未消耗。,,,0,0,未命中项目会话需求关键词；0 表示未归因，不表示实际未耗时。,0,,2026-09-18,a8f48a9
US004,大V,门户富文本支持贴图和表格,作为大V，我希望在门户正文里可以粘贴截图和表格，以便直接复用研究材料。,技术需求,已实现,门户,工作台门户富文本区,前端 contenteditable + onpaste;base64 图像 + HTML table; 后端 HTML 白名单存 portal_cms,否,否,否,否,,否,,图片当前以 data:image 方式保存在 portal_cms JSON 中,已存在，更新分批,是,会议强调复盘和知识库需要引用截图、表格、证据链素材。,MVP核心,Batch 1（1个月内）,P0,需限制图片大小与HTML安全,4.5,2026-07-09,2026-07-17,W2 门户与租户配置,打通租户门户、CMS、品牌配置与发布链路,已实现,sql/postgres/131_review_rich_content_html.sql；tests/test_review_rich_content_bdd.py,2026-09-16,复盘富文本支持图片粘贴/上传，HTML 独立保留。,119,1098,1217,项目会话可见文本离线估算；3轮按用户请求关键词归因，多需求轮次均分；不是供应商账单。,2026-06-18 02:43:44,2026-09-16 15:47:59,0.34,0.042,用户请求至可见助手回复的时长，按关键词归因并均分；不等同于连续人工工时。,1,BUG-011,2026-09-18,a8f48a9
US005,大V,调整门户模块顺序和显隐,作为大V，我希望控制门户模块顺序和显示状态，以便决定粉丝首先看到什么。,业务需求,已实现,门户,工作台门户左侧结构区,page_blocks[] enabled/order -> portal_cms,否,否,否,否,,否,,当前支持 hero/dashboard/rich_text/contact,已存在，更新分批,否,用于控制一期先展示什么内容。,MVP核心,Batch 1（1个月内）,P1,需与粉丝端渲染协议保持一致,2.5,2026-07-09,2026-07-17,W2 门户与租户配置,打通租户门户、CMS、品牌配置与发布链路,已实现,src/domain/core_services.py；templates/admin.html,2026-06-07 至 2026-09-18,模块排序及显隐由配置控制。,0,0,0,未命中项目会话需求关键词；0 表示未归因，不表示实际未消耗。,,,0,0,未命中项目会话需求关键词；0 表示未归因，不表示实际未耗时。,0,,2026-09-18,a8f48a9
US006,粉丝用户,进入H5继续使用,作为粉丝用户，我希望从门户进入 H5 继续查看分析、自选股、复盘和 Hermes。,业务需求,已实现,H5,/h5,Flask 页面 + 前端运行时数据,否,是,是,否,,否,,数据主要是 demo 生成,已存在，更新分批,是,会议建议用户先看内容，再进入H5继续消费研究能力。,MVP核心,Batch 1（1个月内）,P1,H5入口需跟随租户功能控开,2.5,2026-07-18,2026-07-30,W3 基本面与Dashboard,把基本面首页、智能看板、提示词配置从演示态拉到可配置态,已实现,templates/h5.html；src/web/pages.py,2026-06-07 至 2026-09-18,H5 入口和会话跳转已实现。,0,0,0,未命中项目会话需求关键词；0 表示未归因，不表示实际未消耗。,,,0,0,未命中项目会话需求关键词；0 表示未归因，不表示实际未耗时。,0,,2026-09-18,a8f48a9
US007,粉丝用户,查看基本面分析,作为粉丝用户，我希望查看个股结构化基本面分析，以便快速理解核心判断。,业务需求,已实现,自选股,H5 个股详情,/api/watchlist/<stock_code> -> gen_watchlist_details(),否,是,否,部分,可选,后续可接 Agent 负责财报抽取->指标标准化->结论生成。,是,知识库应支持 company / industry / thesis / evidence / validation_node 五元结构。；当前数据为硬编码 demo 样本,已存在，更新分批,是,会议明确首页基本面和个股信息要受合规边界约束。,MVP受限开放,Batch 1（1个月内）,P0,高合规风险；只保留研究表达和风险提示,3.0,2026-07-18,2026-07-30,W3 基本面与Dashboard,把基本面首页、智能看板、提示词配置从演示态拉到可配置态,已实现,templates/h5.html；src/domain/market_services.py,2026-07-11 至 2026-09-18,基本面展示读取市场/宏观/行业数据。,8534,32898,41432,项目会话可见文本离线估算；95轮按用户请求关键词归因，多需求轮次均分；不是供应商账单。,2026-05-26 21:28:05,2026-09-18 02:43:23,5.11,0.639,用户请求至可见助手回复的时长，按关键词归因并均分；不等同于连续人工工时。,0,,2026-09-18,a8f48a9
US008,粉丝用户,查看K线与均线,作为粉丝用户，我希望在个股详情看到 K 线与均线，以便结合走势理解判断。,业务需求,已实现,自选股,H5 个股详情,前端 SVG/K线数据来自 gen_watchlist_details(),否,是,否,否,,否,,当前为演示数据,已存在，更新分批,是,K线走势与复盘标注是会议中被反复提到的展示形式。,MVP核心,Batch 1（1个月内）,P1,需避免直接形成荐股表达,2.5,2026-07-31,2026-08-22,W4 自选股研究层,完成自选股、K线、板块归纳、预警与相关配置中心,部分实现,src/domain/market_services.py；tests/test_watchlist_akshare_provider.py,2026-07-11 至 2026-09-18,日K与分时具备按需数据链路；免费源可用性仍需运行时监控。,13066,45709,58775,项目会话可见文本离线估算；92轮按用户请求关键词归因，多需求轮次均分；不是供应商账单。,2026-06-07 18:16:46,2026-09-18 10:27:17,4.94,0.617,用户请求至可见助手回复的时长，按关键词归因并均分；不等同于连续人工工时。,1,BUG-009,2026-09-18,a8f48a9
US009,粉丝用户,添加自选股,作为粉丝用户，我希望把感兴趣的股票加入自选，以便后续跟踪。,业务需求,已实现,自选股,H5 自选股,浏览器 localStorage WATCHLIST_ADDED_STORAGE_KEY；尚未迁移到租户级后端资产,否,否,是,否,,否,,当前仍是本地自选股，不支持跨端同步,已存在，更新分批,否,自选股是既定MVP能力，会议未改变优先级。,MVP核心,Batch 1（1个月内）,P0,需迁移到后端形成租户级资产,3.5,2026-07-31,2026-08-22,W4 自选股研究层,完成自选股、K线、板块归纳、预警与相关配置中心,已实现,src/web/api_core.py: api_add_user_watchlist_item；src/domain/core_services.py,2026-07-11 至 2026-09-18,自选股由当前认证用户维度持久化。,25415,79594,105009,项目会话可见文本离线估算；215轮按用户请求关键词归因，多需求轮次均分；不是供应商账单。,2026-05-26 21:28:05,2026-09-18 02:43:23,13.16,1.645,用户请求至可见助手回复的时长，按关键词归因并均分；不等同于连续人工工时。,1,BUG-004,2026-09-18,a8f48a9
US010,粉丝用户,给K线做标注,作为粉丝用户，我希望在 K 线上记录当时判断和复盘话语，以便后续复盘引用。,业务需求,已实现,"自选股,标注",H5 个股详情标注弹窗,/api/watchlist/<stock_code>/annotations GET/POST/DELETE + Postgres 持久化标注记录,否,否,否,否,,是,知识条目应支持 annotation -> linked_symbol -> timestamp -> note -> thesis。,K线标注已支持保存、查询、删除，可作为后续复盘归纳输入,已存在，更新分批,是,会议明确需要K线标注和复盘证据链联动。,MVP核心,Batch 1（1个月内）,P1,标注需和复盘内容关联留痕,2.5,2026-07-31,2026-08-22,W4 自选股研究层,完成自选股、K线、板块归纳、预警与相关配置中心,部分实现,src/web/api_core.py；src/domain/workbench_services.py,2026-07-11 至 2026-09-18,K线标注与复盘引用链路存在；完整标注运营流程需继续验收。,7029,30094,37123,项目会话可见文本离线估算；82轮按用户请求关键词归因，多需求轮次均分；不是供应商账单。,2026-06-17 04:18:28,2026-09-17 11:32:09,2.58,0.323,用户请求至可见助手回复的时长，按关键词归因并均分；不等同于连续人工工时。,0,,2026-09-18,a8f48a9
